,Code,Trigger Ratio,Close > Open Percentage,Low Violation 1 week,Low Violation 2 week,Low Violation 3 week,Low Violation 4 week,Close Violation 1 week,Close Violation 2 week,Close Violation 3 week,Close Violation 4 week
108,SBAC,2.6909722222222223,58.064516129032256,19.3548,9.6774,3.2258,0.0,35.4839,12.9032,0.0,9.6774
109,SBUX,2.9118773946360155,60.526315789473685,18.4211,13.1579,2.6316,7.8947,44.7368,21.0526,2.6316,0.0
110,SCHW,3.9080459770114944,41.1764705882353,23.5294,11.7647,11.7647,5.8824,58.8235,11.7647,3.9216,1.9608
111,SEE,3.0651340996168583,57.5,20.0,12.5,7.5,7.5,40.0,15.0,5.0,5.0
112,SHW,3.371647509578544,56.81818181818182,15.9091,6.8182,11.3636,4.5455,40.9091,11.3636,9.0909,2.2727
113,SIVB,2.9118773946360155,50.0,21.0526,21.0526,2.6316,2.6316,52.6316,10.5263,2.6316,0.0
114,SJM,3.2169117647058822,57.142857142857146,11.4286,5.7143,17.1429,2.8571,40.0,17.1429,2.8571,0.0
115,SLB,4.061302681992337,49.056603773584904,26.4151,5.6604,7.5472,3.7736,47.1698,9.434,1.8868,7.5472
116,SNA,3.9080459770114944,54.90196078431372,13.7255,17.6471,3.9216,7.8431,45.098,15.6863,5.8824,1.9608
117,SNPS,3.0651340996168583,55.0,17.5,7.5,2.5,0.0,40.0,17.5,0.0,2.5
118,SO,2.835249042145594,40.54054054054054,24.3243,16.2162,0.0,2.7027,56.7568,10.8108,2.7027,0.0
119,SPGI,2.9885057471264367,71.7948717948718,12.8205,10.2564,7.6923,7.6923,30.7692,15.3846,10.2564,2.5641
120,SPG,3.2950191570881224,55.81395348837209,9.3023,13.9535,9.3023,4.6512,48.8372,9.3023,4.6512,0.0
121,SRE,2.6622296173044924,59.375,18.75,3.125,15.625,6.25,40.625,6.25,18.75,0.0
122,STE,2.7966101694915255,69.6969696969697,12.1212,9.0909,3.0303,6.0606,30.303,21.2121,6.0606,0.0
123,STT,3.2950191570881224,55.81395348837209,13.9535,11.6279,6.9767,9.3023,46.5116,6.9767,6.9767,6.9767
124,STX,2.268041237113402,45.45454545454545,18.1818,9.0909,13.6364,4.5455,50.0,13.6364,0.0,13.6364
125,STZ,2.528735632183908,42.42424242424242,12.1212,18.1818,3.0303,6.0606,51.5152,6.0606,0.0,6.0606
126,SWKS,3.371647509578544,38.63636363636363,13.6364,18.1818,6.8182,6.8182,52.2727,9.0909,11.3636,6.8182
127,SWK,3.1417624521072796,51.21951219512195,12.1951,12.1951,7.3171,4.878,53.6585,4.878,7.3171,0.0
128,SYF,2.203856749311295,37.5,25.0,0.0,0.0,12.5,50.0,0.0,0.0,12.5
129,SYK,2.528735632183908,54.54545454545455,9.0909,9.0909,12.1212,3.0303,45.4545,6.0606,12.1212,3.0303
130,TAP,2.835249042145594,40.54054054054054,24.3243,5.4054,2.7027,8.1081,54.0541,13.5135,5.4054,2.7027
131,TDG,2.125,64.70588235294117,0.0,5.8824,11.7647,5.8824,23.5294,5.8824,17.6471,0.0
